        L = 0.40          L = 0.35          L = 0.45     Etotal @ L = 0.00
       -0.77880829       -0.87054070       -0.30816418    -5039.18095074                            
       -0.73722940       -0.83313313       -0.30109710    -5038.24719428                            
       -1.04941244       -1.12400744       -0.56936117    -5049.04293716                            
       -1.64036501       -2.07138013       -0.98884712    -5056.09577947                            
       -0.95875819       -0.83495169       -0.52699301    -5059.06086923                            
       -0.52201455       -0.92168473        0.11862334    -5064.52217357                            
       -0.11962252       -0.59785353        0.55948240    -5067.73043874                            
       -0.00293984       -0.39034776        0.59889607    -5054.03379871                            
       -0.31144929       -0.78903643        0.33724130    -5066.30043833                            
       -0.42287026       -0.75160390        0.18614849    -5072.32145614                            
       -0.42716342       -0.06351962       -0.06392353    -5073.47827101                            
        0.06375929        0.06140419        0.54884089    -5082.91360660                            
       -0.55844986       -0.42393349       -0.12708283    -5100.84114312                            
        0.30157675        0.63255957        0.61738894    -5097.92286885                            
        0.77427962        0.68229689        1.27223375    -5074.57866532                            
        0.51189461        0.79400559        0.82249754    -5072.45396521                            
        1.43596437        2.17827643        1.55173600    -5063.03525886                            
        0.95165737        2.80925301        0.42093123    -5089.26873343                            
        0.09491569        1.98249333       -0.32489752    -5088.35424269                            
        0.67118683        2.15087957        0.33319756    -5072.66080415                            
        0.56578363        2.21745725        0.21113108    -5089.24392884                            
        0.66750359        2.14443923        0.42101408    -5068.69842347                            
        1.41105806        3.64960274        0.86585431    -5067.39719597                            
        0.38296818        1.56064980        0.28989330    -5071.78776817                            
       -0.22265396        0.61649455       -0.14832304    -5072.73382059                            
       -0.58376540        0.31464422       -0.52522285    -5071.79906640                            
       -0.82268778        0.04580935       -0.69440061    -5069.45027011                            
       -0.75907003       -0.14115458       -0.53337062    -5073.82604901                            
       -0.66495502       -0.07706919       -0.39738211    -5075.53796783                            
       -1.64627912       -1.13877003       -1.37064376    -5084.27297958                            
       -2.41601729       -2.19485505       -1.98234183    -5068.09848613                            
       -1.32900389        1.24001064       -1.81867080    -5062.55108975                            
       -1.40427907        0.06551195       -1.47097238    -5068.90383819                            
       -1.19863867       -0.63209717       -0.89695409    -5068.37267826                            
       -0.24709550        0.31815627       -0.00242658    -5045.19964948                            
        0.17584290        1.20303661        0.15224152    -5047.37598795                            
        0.93567025        1.78405525        1.00470744    -5043.75830012                            
        0.46817280        2.58567832       -0.08546491    -5040.45403811                            
        0.21249220        1.52409095        0.05546458    -5032.05798335                            
       -0.07082557        1.01710556       -0.11315686    -5025.32847750                            
       -1.20770586       -0.93539364       -0.83963605    -5043.21352068                            
       -0.29989952        0.25340752       -0.00939557    -5055.30300635                            
        0.71197510        2.19628230        0.58122920    -5038.19723644                            
        0.78932585        3.63388063        0.15396447    -5038.13232260                            
        0.78369688        3.48918215        0.19645416    -5046.48037010                            
        1.16739099        4.82927675        0.21580526    -5053.02410129                            
        0.86167288        3.57707420        0.12770375    -5042.39259816                            
        1.96308274        6.81166858        0.37998014    -5040.08636961                            
        2.25216867        6.78236888        0.71580571    -5038.89739448                            
        2.35216243        7.89451554        0.38531762    -5057.34972628                            
        2.11077050        6.47591346        0.42761259    -5045.65392926                            
        1.52693828        6.14440386       -0.20577287    -5070.87937716                            
        0.82287191        4.35185591       -0.34669826    -5055.64090211                            
       -0.43797345        1.69304340       -0.88714881    -5067.82839915                            
       -0.55526645        2.32155063       -1.32094605    -5059.72036051                            
       -0.44595060        2.33528720       -1.25362188    -5052.95000600                            
       -0.59201494        1.92939207       -1.19508688    -5064.44656612                            
        0.38041815        2.79672781       -0.39068587    -5064.52073051                            
        1.54633973        4.29397336        0.55859310    -5078.20408961                            
        0.82720656        2.83169170        0.24687985    -5083.02836369                            
        0.47273650        2.20754137        0.05262455    -5075.68292697                            
        1.09952921        2.51768316        0.86609618    -5056.70919451                            
        1.10150967        2.70582987        0.87578780    -5055.33904282                            
        0.07730203        1.35216613        0.00030826    -5066.14381566                            
       -0.36866052        0.26455511       -0.04220978    -5052.48942735                            
        1.95715473        3.04359474        2.02116209    -5051.11979651                            
        1.82799850        3.59090828        1.57834560    -5037.58815998                            
        0.87951790        1.65890475        1.11488558    -5040.44904882                            
        0.02452549        1.17463389        0.05797545    -5040.91638791                            
       -0.37095494        0.70482255       -0.27966303    -5064.00648422                            
       -0.06905049        1.45169664       -0.15352619    -5065.03085449                            
        0.38165903        2.09101079        0.14291154    -5057.55403112                            
        0.76922455        2.98430402        0.38537177    -5065.91230186                            
        0.58352824        2.53901255        0.35104721    -5077.43520192                            
        1.45173336        4.17620448        0.70710787    -5055.50734552                            
        1.08299628        3.79419149        0.47284622    -5059.06360646                            
        0.08525148        2.04912089       -0.25963229    -5048.75526256                            
        0.59710984        2.40303654        0.24068013    -5046.97244426                            
        0.58762964        2.14192822        0.37013100    -5050.62943246                            
        0.46360666        1.73451483        0.40660400    -5067.00950753                            
        0.49536713        2.49455347        0.11990970    -5071.13870944                            
        0.51163972        1.97674714        0.39019194    -5056.81791742                            
        0.42129258        2.21000487        0.15554899    -5044.88105680                            
        0.73301682        2.97608476        0.27865347    -5035.61751861                            
       -0.70702745        0.12252442       -0.55564995    -5050.67732024                            
        0.18341020        1.65040660        0.12371501    -5050.79594648                            
        0.11012458        1.36844325        0.11562131    -5048.07630574                            
        0.97917827        2.51992910        0.89531841    -5043.08276546                            
        2.07021919        4.20043979        1.70322631    -5065.65202320                            
        1.93059131        3.53018908        1.77343016    -5081.09635401                            
        2.14700227        3.65888627        2.01717018    -5064.37445436                            
        2.36630174        4.67983660        1.87235960    -5064.24345787                            
        1.41499715        2.60508295        1.39558039    -5054.66217784                            
        1.00055149        2.44762969        0.83691339    -5054.42719081                            
        1.75393892        3.59635656        1.44087003    -5048.86234429                            
        1.08942356        2.00749070        1.22039767    -5054.56466054                            
        1.07726642        1.52722820        1.38545758    -5050.39166081                            
        2.07644199        2.33438810        2.45855697    -5055.31812916                            
        2.49353788        3.13282346        2.66307684    -5053.51755563                            
        1.08490628        1.22481922        1.50880247    -5065.03993086                            
        1.64323546        2.12818113        1.89338191    -5046.03120101                            
        2.29643497        3.25420017        2.31028895    -5028.93093473                            
        3.53392114        5.30897063        3.24265341    -5031.22756905                            
        4.43459444        6.24544956        4.15498027    -5032.81960983                            
        3.49915088        4.63760880        3.50593087    -5028.56990844                            
        3.32407089        4.93327234        3.11966957    -5037.73759549                            
        3.62391111        6.06971123        3.00849966    -5035.64478604                            
        2.94497144        5.69041051        2.28252193    -5006.26601763                            
        2.41859536        4.15279509        2.17661708    -5030.45489682                            
        1.86782204        2.49825608        2.09470736    -5022.84716240                            
        2.49170482        3.39231431        2.58978460    -5022.52357604                            
        2.44014781        2.82192014        2.74773633    -5019.86165059                            
        1.65059266        1.86794559        2.04984662    -5029.52445906                            
        1.38814374        1.67423904        1.75772382    -5027.15967693                            
        2.23724292        2.07143610        2.76378519    -5026.59377873                            
        1.72742212        1.99745266        2.08258720    -5027.29606018                            
        1.79555535        1.79291239        2.26780634    -5030.45954838                            
        2.32627539        3.92125586        2.17112289    -5025.95882842                            
        2.68729655        5.48092385        2.12636318    -5025.87238625                            
        1.05182350        2.40203781        1.03914910    -5046.13330621                            
        0.07847699        0.22255558        0.47831939    -5018.90405491                            
        0.24775839        1.29315911        0.22889623    -5026.57436490                            
        1.16578710        2.72957265        0.92184658    -5038.33598793                            
       -0.20291576       -0.23857632        0.26638136    -5032.54836044                            
        0.09747586        0.04587297        0.57463832    -5040.43835985                            
        0.27454798       -0.05648941        0.90645116    -5037.97524738                            
        0.54013700        0.34851983        1.10058420    -5038.21120833                            
        0.31145700       -0.00403904        0.90636761    -5034.27587458                            
        0.91286998        1.15215068        1.24941290    -5018.56587689                            
        1.21695265        1.06395891        1.71648013    -5006.53742786                            
        1.19617975        0.72327955        1.78514153    -5007.30652404                            
        1.21677731        0.65097401        1.84238146    -5024.24649024                            
        2.74356829        2.16985541        3.36330585    -5059.30395247                            
        2.40098192        1.87723604        3.01157708    -5065.64356934                            
        1.51443159        1.11991855        2.08860184    -5049.69931019                            
        1.16352910        1.01666425        1.63142607    -5047.28932877                            
        1.28104931        0.99592043        1.79044039    -5030.77816588                            
        1.62083320        1.19997087        2.20295397    -5038.83230473                            
        1.65172473        1.23574524        2.19212056    -5022.31967679                            
        2.10470773        1.96445360        2.52372138    -5019.41879744                            
        3.27207888        4.59088883        3.05716612    -5043.23240423                            
        2.24828462        2.02080771        2.72188850    -5016.95999357                            
        1.21128102        0.99903464        1.72489969    -5026.12476214                            
        0.93572274        1.08895308        1.28883235    -5019.91820121                            
        1.06464754        0.80217895        1.58643338    -5019.43084843                            
        0.73360606        0.51461456        1.23747503    -5019.94598513                            
        0.73843007        1.38302057        0.89512654    -5013.64864758                            
        0.67633344        1.38674455        0.81011187    -5019.89575621                            
        0.41685006        0.78798235        0.73883066    -5036.14768031                            
        0.01226828        0.25191241        0.37360725    -5024.82037955                            
